"Transaction ID","ID de transacción"
"Payment ID","ID de pago"
"Status","Estado"
"Amount","Importe"
"Reference ID","ID de referencia"
"Transaction Date","Fecha de la transacción"
"Completed At","Fecha de Pago"
"Canceled At","Cancelado el"
"Cancel Reason","Motivo de cancelación"
"Holder ID: %1","ID del titular: %1"
"Account: %1","Cuenta: %1"
"Sender Account","Cuenta emisora"
"Authorization","Autorización"
"Capture","Captura"
"Refund","Reembolso"
"Void","Anulación"
"Webhook","Webhook"
"Pending","Pendiente"
"Success","Exitoso"
"Failed","Fallido"
"Processing","Procesando"
"Canceled","Cancelado"
"Export","Exportar"
"ID","ID"
"Order #","Orden n.º"
"Type","Tipo"
"Currency","Moneda"
"Error Message","Mensaje de error"
"Created","Creado"
"Updated","Actualizado"
"Order ID","ID de orden"
"Method","Método"
"View","Ver"
"View Order","Ver orden"
"Request Refund","Solicitar reembolso"
"View Refund Transactions","Ver transacciones de reembolso"
"Fintoc Payment Transactions","Transacciones de pago de Fintoc"
"No Fintoc transactions found for this order.","No se encontraron transacciones de Fintoc para esta orden."
"Date","Fecha"
"Actions","Acciones"
"Details","Detalles"
"Transaction Details","Detalles de la transacción"
"Reference","Referencia"
"Previous Status","Estado anterior"
"Created At","Creado el"
"Updated At","Actualizado el"
"Created By","Creado por"
"Updated By","Actualizado por"
"Error","Error"
"Code","Código"
"Message","Mensaje"
"Request Data","Datos de la solicitud"
"Response Data","Datos de la respuesta"
"Webhook Data","Datos del webhook"
"Status History","Historial de estado"
"From","De"
"To","A"
"User","Usuario"
"Hide","Ocultar"
"Transaction not found.","Transacción no encontrada."
"Fintoc Transaction Details","Detalles de la transacción de Fintoc"
"Payment Information","Información de pago"
"Order not found: %1","Orden no encontrada: %1"
"Payment successfully processed by Fintoc. Payment ID: %1, Amount: %2 %3, Reference: %4","Pago procesado exitosamente por Fintoc. ID de pago: %1, Importe: %2 %3, Referencia: %4"
"Invoice #%1 created","Factura #%1 creada"
"Payment failed at Fintoc. Payment ID: %1, Amount: %2 %3, Status: %4%5","Pago fallido en Fintoc. ID de pago: %1, Importe: %2 %3, Estado: %4%5"
"Fintoc Webhook key is not configured","La clave de Webhook de Fintoc no está configurada"
"Payment pending at Fintoc. Payment ID: %1%2","Pago pendiente en Fintoc. ID de pago: %1%2"
", Amount: %1 %2",", Importe: %1 %2"
"No order ID found in checkout session metadata","No se encontró ID de orden en los metadatos de la sesión de checkout"
"Fintoc checkout session finished. Session ID: %1, Status: %2","Sesión de checkout de Fintoc finalizada. ID de sesión: %1, Estado: %2"
"Fintoc checkout session expired. Session ID: %1","Sesión de checkout de Fintoc expirada. ID de sesión: %1"
"Missing transaction ID parameter","Falta el parámetro ID de transacción"
"Invalid transaction ID","ID de transacción no válido"
"Transaction not found","Transacción no encontrada"
"Order not found","Orden no encontrada"
"Invalid action parameter","Parámetro de acción no válido"
"Fintoc payment successful. Transaction ID: %1, Amount: %2 %3","Pago de Fintoc exitoso. ID de transacción: %1, Importe: %2 %3"
"Your payment was successful.","Tu pago se realizó con éxito."
"Fintoc payment canceled by customer. Transaction ID: %1, Amount: %2 %3","Pago de Fintoc cancelado por el cliente. ID de transacción: %1, Importe: %2 %3"
"Your payment was canceled.","Tu pago fue cancelado."
"No order found","No se encontró ninguna orden"
"Fintoc payment initiated. Transaction ID: %1, Amount: %2 %3","Pago de Fintoc iniciado. ID de transacción: %1, Importe: %2 %3"
"Fintoc payment failed. Transaction ID: %1, Error: %2","Pago de Fintoc falló. ID de transacción: %1, Error: %2"
"Error communicating with Fintoc API: %1","Error al comunicarse con la API de Fintoc: %1"
"Fintoc payment failed. Transaction ID: %1, Error: Invalid response from Fintoc API","Pago de Fintoc falló. ID de transacción: %1, Error: Respuesta inválida de la API de Fintoc"
"Invalid response from Fintoc API","Respuesta inválida de la API de Fintoc"
"Fintoc API key is not configured","La clave de API de Fintoc no está configurada"
"Missing transaction identifier.","Falta el identificador de transacción."
"Fintoc Transaction #%1","Transacción de Fintoc #%1"
"Fintoc Refundable Orders","Órdenes reembolsables de Fintoc"
"Request Fintoc Refund","Solicitar reembolso Fintoc"
"Fintoc Transactions","Transacciones de Fintoc"
"Fintoc","Fintoc"
"Basic Settings","Configuración básica"
"Secret API Key","Clave API secreta"
"Webhook Secret","Clave secreta del Webhook"
"Enable Logging","Habilitar registros"
"Debug Level","Nivel de depuración"
"Log Sensitive Data","Registrar datos sensibles"
"Debug Mode","Modo de depuración"
"Refunds","Reembolsos"
"Enable Refunds","Habilitar reembolsos"
"Allow Partial Refunds","Permitir reembolsos parciales"
"Auto-create Credit Memo on Refund Succeeded","Crear nota de crédito automáticamente cuando el reembolso sea exitoso"
"Order Status on Refund Pending","Estado de la orden cuando el reembolso está pendiente"
"Order Status on Refund Succeeded","Estado de la orden cuando el reembolso sea exitoso"
"Order Status on Refund Failed","Estado de la orden cuando el reembolso falle"
"Order Status on Refund Canceled","Estado de la orden cuando el reembolso sea cancelado"
"Payment Initiation","Inicio de pago"
"Enabled","Habilitado"
"Title","Título"
"Automatically Invoice All Items","Facturar automáticamente todos los artículos"
"New Order Status","Nuevo estado de la orden"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Maximum Order Amount","Importe máximo de la orden"
"Sort Order","Orden de clasificación"
